MAX Unit,CRM_number,Client_jar_number,CRM_number_for_every_100_Client_jars
1.0,343.0,4757.0,7.210426739541728
2.0,476.0,4624.0,10.294117647058824
3.0,404.0,4696.0,8.603066439522998
4.0,271.0,4829.0,5.61192793539035
5.0,112.0,4988.0,2.245388933440257
6.0,118.0,4982.0,2.3685266961059814
7.0,346.0,4754.0,7.2780816154817
8.0,400.0,4700.0,8.51063829787234
9.0,112.0,4988.0,2.245388933440257
10.0,541.0,4559.0,11.86663742048695
11.0,309.0,4791.0,6.4495929868503445
12.0,166.0,4934.0,3.364410214835833
13.0,676.0,4424.0,15.280289330922242
14.0,335.0,4765.0,7.030430220356768
15.0,190.0,4910.0,3.869653767820774
16.0,8.0,5092.0,0.15710919088766692
17.0,303.0,4797.0,6.316447779862414
18.0,228.0,4872.0,4.679802955665025
19.0,378.0,4722.0,8.005082592121981
20.0,217.0,4883.0,4.443989350808929
23.0,297.0,4803.0,6.183635227982511
24.0,851.0,4249.0,20.02824193927983
26.0,341.0,4759.0,7.165370876234503
27.0,1100.0,4000.0,27.5
32.0,849.0,4251.0,19.971771347918136
