,title,rank,year
0,['Born in Flames '],['243'],"['1983 ', 'Directed by Lizzie Borden']"
1,['Pandoras Box'],['243'],"['1928 Germany', 'Directed by G.W. Pabst']"
2,['Sullivans Travels'],['243'],"['1941 USA', 'Directed by Preston Sturges']"
3,['Annie Hall'],['243'],"['1977 USA', 'Directed by Woody Allen']"
4,['Earth'],['243'],"['1930 USSR, Ukrainian SSR', 'Directed by Alexander Dovzhenko']"
5,['My Darling Clementine'],['243'],"['1946 USA', 'Directed by John Ford']"
6,['Mouchette'],['243'],"['1966 France', 'Directed by Robert Bresson']"
7,['A Clockwork Orange'],['243'],"['1971 USA, United Kingdom', 'Directed by Stanley Kubrick']"
8,['A Canterbury Tale'],['243'],"['1944 United Kingdom', 'Directed by Michael Powell, Emeric Pressburger']"
9,['Videodrome'],['243'],"['1983 Canada', 'Directed by David Cronenberg']"
10,['Possession'],['243'],"['1981 France, Federal Republic of Germany', 'Directed by Andrzej Zulawski']"
11,['Soleil Ô'],['243'],"['1970 France', 'Directed by Med Hondo']"
12,"['Distant Voices, Still Lives']",['243'],"['1988 United Kingdom, Federal Republic of Germany', 'Directed by Terence Davies']"
13,['Nostalgia for the Light'],['243'],"['2010 France, Germany, Chile, Spain, USA', 'Directed by Patricio Guzmán']"
14,['Syndromes and a Century'],['243'],"['2006 Thailand, France, Austria, Netherlands', 'Directed by Apichatpong Weerasethakul']"
15,['The Intruder'],['243'],"['2004 France, Republic of Korea', 'Directed by Claire Denis']"
16,['Morvern Callar'],['243'],"['2001 United Kingdom, Canada', 'Directed by Lynne Ramsay']"
17,['In Vandas Room'],['243'],"['2000 Portugal, Germany, Switzerland', 'Directed by Pedro Costa']"
18,['Werckmeister Harmonies'],['243'],"['2000 Hungary, Germany, France, Switzerland, Italy', 'Directed by Béla Tarr']"
19,['Taste of Cherry'],['243'],"['1997 Iran', 'Directed by Abbas Kiarostami']"
20,['The Quince Tree Sun'],['243'],"['1992 Spain', 'Directed by Víctor Erice']"
21,['The Last Laugh'],['243'],"['1924 Germany', 'Directed by F.W. Murnau']"
22,"['Harlan County, USA']",['225'],"['1976 USA', 'Directed by Barbara Kopple']"
23,['Cries and Whispers'],['225'],"['1972 Sweden', 'Directed by Ingmar Bergman']"
24,['Star Wars'],['225'],"['1977 USA', 'Directed by George Lucas']"
25,[' Intolerance'],['225'],"['1916 USA', 'Directed by D.W. Griffith']"
26,['The Hour of the Furnaces'],['225'],"['1968 Argentina', 'Directed by Fernando Solanas']"
27,['Europa 51'],['225'],"['1952 Italy', 'Directed by Roberto Rossellini']"
28,['Napoléon'],['225'],"['1927 France', 'Directed by Abel Gance']"
29,['The Crowd'],['225'],"['1928 USA', 'Directed by King Vidor']"
30,['A Touch of Zen'],['225'],"['1969 Taiwan', 'Directed by King Hu']"
31,"['Je, tu, il, elle']",['225'],"['1974 Belgium', 'Directed by Chantal Akerman']"
32,['Petite maman'],['225'],"['2021 France', 'Directed by Céline Sciamma']"
33,"['As I Was Moving Ahead, Occasionally I Saw Brief Glimpses of Beauty']",['225'],"['2000 USA', 'Directed by Jonas Mekas']"
34,['Flowers of Shanghai'],['225'],"['1998 Taiwan, Japan', 'Directed by Hou Hsiao-Hsien']"
35,['Happy Together'],['225'],"['1997 Hong Kong', 'Directed by Wong Kar Wai']"
36,['Crash'],['225'],"['1996 Canada', 'Directed by David Cronenberg']"
37,['Blue'],['225'],"['1993 United Kingdom, Japan', 'Directed by Derek Jarman']"
38,['Grave of the Fireflies'],['225'],"['1988 Japan', 'Directed by Isao Takahata']"
39,['The Green Ray'],['225'],"['1986 France', 'Directed by Eric Rohmer']"
40,['By the Bluest of Seas'],['211'],"['1935 USSR', 'Directed by Boris Barnet']"
41,['Duck Soup'],['211'],"['1933 USA', 'Directed by Leo McCarey']"
42,['All about Eve'],['211'],"['1950 USA', 'Directed by Joseph L. Mankiewicz']"
43,['Brief Encounter'],['211'],"['1945 United Kingdom', 'Directed by David Lean']"
44,['Suspiria'],['211'],"['1977 Italy', 'Directed by Dario Argento']"
45,['In a Lonely Place'],['211'],"['1950 USA', 'Directed by Nicholas Ray']"
46,['The Deer Hunter'],['211'],"['1978 USA', 'Directed by Michael Cimino']"
47,['Army of Shadows'],['211'],"['1969 France, Italy', 'Directed by Jean-Pierre Melville']"
48,['Melancholia'],['211'],"['2011 Denmark, Sweden, France, Germany, Italy', 'Directed by Lars von Trier']"
49,['Twenty Years Later'],['211'],"['1984 Brazil', 'Directed by Eduardo Coutinho']"
50,['Twin Peaks: Fire Walk with Me'],['211'],"['1992 USA', 'Directed by David Lynch']"
51,['Pink Flamingos'],['211'],"['1972 USA', 'Directed by John Waters']"
52,['Raiders of the Lost Ark'],['211'],"['1981 USA', 'Directed by Steven Spielberg']"
53,['Limite'],['211'],"['1931 Brazil', 'Directed by Mário Peixoto']"
54,['The Life and Death of Colonel Blimp'],['196'],"['1943 United Kingdom', 'Directed by Michael Powell, Emeric Pressburger']"
55,['Wavelength'],['196'],"['1967 Canada', 'Directed by Michael Snow']"
56,['I Know Where I’m Going!'],['196'],"['1945 United Kingdom', 'Directed by Michael Powell, Emeric Pressburger']"
57,['L eclisse'],['196'],"['1962 Italy, France', 'Directed by Michelangelo Antonioni']"
58,['Double Indemnity'],['196'],"['1944 USA', 'Directed by Billy Wilder']"
59,['Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb'],['196'],"['1963 United Kingdom, USA', 'Directed by Stanley Kubrick']"
60,['One Way or Another'],['196'],"['1977 Cuba', 'Directed by Sara Gómez']"
61,['Nosferatu'],['196'],"['1922 Germany', 'Directed by F.W. Murnau']"
62,['Paisan'],['196'],"['1946 Italy', 'Directed by Roberto Rossellini']"
63,['Zama'],['196'],"['2017 Argentina, Brazil, Spain, France, Mexico, Netherlands, Monaco, Portugal, USA, Lebanon, United Kingdom, Dominican Republic', 'Directed by Lucrecia Martel']"
64,['Mad Max: Fury Road'],['196'],"['2015 USA, Australia', 'Directed by George Miller']"
65,['The Tree of Life'],['196'],"['2010 USA', 'Directed by Terrence Malick']"
66,['Uncle Boonmee Who Can Recall His Past Lives'],['196'],"['2010 Thailand, United Kingdom, France, Germany, Spain, Netherlands', 'Directed by Apichatpong Weerasethakul']"
67,['The Headless Woman'],['196'],"['2008 Argentina, Spain, France, Italy', 'Directed by Lucrecia Martel']"
68,['Paris Is Burning'],['196'],"['1990 USA, United Kingdom', 'Directed by Jennie Livingston']"
69,"['Paris, Texas']",['185'],"['1984 Federal Republic of Germany, France, United Kingdom', 'Directed by Wim Wenders']"
70,['Les Demoiselles de Rochefort'],['185'],"['1967 France', 'Directed by Jacques Demy']"
71,['The Birds'],['185'],"['1963 USA', 'Directed by Alfred Hitchcock']"
72,['The River'],['185'],"['1951 USA', 'Directed by Jean Renoir']"
73,['An Autumn Afternoon'],['185'],"['1962 Japan', 'Directed by Yasujirō Ozu']"
74,['Love Streams'],['185'],"['1984 USA', 'Directed by John Cassavetes']"
75,[' Greed'],['185'],"['1923 USA', 'Directed by Erich von Stroheim']"
76,['Ran'],['185'],"['1985 France, Japan', 'Directed by Akira Kurosawa']"
77,[' Pyaasa'],['185'],"['1957 India', 'Directed by Guru Dutt']"
78,['Wings of Desire'],['185'],"['1987 Federal Republic of Germany, France', 'Directed by Wim Wenders']"
79,['Magnolia'],['185'],"['1999 USA', 'Directed by Paul Thomas Anderson']"
