,jar_barcode,CRM_type,gross_mass,fill,date
0,%P%04CRMRFJ,RROREAS 264,339.9,100.0,"March 6, 2024, 1:18 p.m."
1,%P%04CRMRO4,Standard ID Not Set,511.0,100.0,Toolkit data
2,%P%04CRMO5B,RROREAS 237,499.9,100.0,Toolkit data
3,%P%04CRMRHM,RROREAS 237,490.9,100.0,Toolkit data
4,%P%04CRMRJJ,RRCDN-ME1411,557.5,100.0,"Jan. 20, 2024, 11:21 p.m."
5,%P%04CRMRKW,RRBLANK,583.0,100.0,Toolkit data
6,%P%04CRMO5M,RRTAZ-20,487.18,100.0,Toolkit data
7,%P%04CRMRNJ,RRTAZ-20,475.3,100.0,Toolkit data
8,%P%04CRMRMG,RROREAS 264,417.2,100.0,Toolkit data
9,%P%04CRMD2L,rrct-22,510.4,100.0,Toolkit data
10,%P%04CRMD2O,rrct-22,515.3,100.0,Toolkit data
11,%P%04CRME0V,Standard ID Not Set,551.8,99.6,Toolkit data
12,%P%04CRM9WF,RRBLANK,574.7,100.0,Toolkit data
13,%P%01CRM2SR,RRBLANK,631.8,100.0,Toolkit data
14,%P%04CRMBS1,RRCDN-ME1411,563.1,100.0,Toolkit data
15,%P%04CRM9WH,RRBLANK,601.4,100.0,Toolkit data
16,%P%04CRMFNJ,RRCDN-ME1411,557.4,100.0,Toolkit data
17,%P%01CRM316,RROREAS 264,422.4,100.0,Toolkit data
18,%P%01CRM2PD,RRCT-22,514.8,100.0,Toolkit data
19,%P%01CRM2PK,CT_22,513.8,100.0,Toolkit data
20,%P%01CRM304,RRCT-22,538.9,100.0,Toolkit data
21,%P%01CRM302,RRCT-22,517.3,100.0,Toolkit data
22,%P%01CRM27N,OREAS-522,572.8,100.0,Toolkit data
23,%P%01EX02Y9,1116-J,582.8,100.0,Toolkit data
24,%P%01CRM2W7,RRBLANK,649.2,100.0,Toolkit data
25,%P%01CRM2QB,RRBLANK,686.7,100.0,Toolkit data
26,%P%01CRM2WC,RRBLANK,611.5,100.0,Toolkit data
27,%P%01CRM2YQ,RRBLANK,678.9,100.0,Toolkit data
28,%P%01CRM2PY,OREAS502C,499.3,100.0,Toolkit data
29,%P%01CRM2XH,OREAS23B,497.5,100.0,Toolkit data
30,%P%01CRM2Q6,RRBLANK,644.8,100.0,Toolkit data
31,%P%01CRM0Y1,RRBLANK,704.9,100.0,Toolkit data
32,%P%01CRM0Y9,RRBLANK,685.48,100.0,Toolkit data
33,%P%01CRM0Y3,RRBLANK,652.56,100.0,Toolkit data
34,%P%01CRM2Q4,RRBLANK,629.7,100.0,Toolkit data
35,%P%01CRM2WX,RRoreas 229B,448.8,100.0,Toolkit data
36,%P%01CRM2WE,RROREAS 264,438.8,100.0,Toolkit data
37,%P%01CRM2XJ,RROREAS 264,420.8,100.0,Toolkit data
38,%P%01CRM2X1,RROREAS 264,425.7,100.0,Toolkit data
39,%P%01CRM2W9,OREAS264,430.7,100.0,Toolkit data
40,%P%01CRM2X8,RRoreas 229B,455.6,100.0,Toolkit data
41,%P%01CRM2Y3,RRoreas 229B,445.6,100.0,Toolkit data
42,%P%01CRM2YA,RRBLANK,671.3,100.0,Toolkit data
43,%P%01CRM2WV,RRBLANK,602.6,100.0,Toolkit data
44,%P%01CRM2XX,RRBLANK,535.7,100.0,Toolkit data
45,%P%01CRM2Y1,RRBLANK,564.4,100.0,Toolkit data
46,%P%01CRM2YF,RROREAS 237,483.7,100.0,Toolkit data
47,%P%01CRM2YV,Standard ID Not Set,525.6,99.94,Toolkit data
48,%P%01CRM2Y8,Standard ID Not Set,528.7,100.0,Toolkit data
49,%P%01CRM2YN,Standard ID Not Set,532.4,100.0,Toolkit data
50,%P%01CRM2Y2,CDN-CDN-ME-1411,533.3,100.0,Toolkit data
51,%P%01CRM2YG,RRBLANK,644.5,100.0,Toolkit data
52,%P%01CRM2Y4,RRoreas 229B,468.9,100.0,Toolkit data
53,%P%01CRM2Z0,RRCDN-ME1411,519.8,100.0,Toolkit data
54,%P%01CRM0Y0,RRTAZ-20,478.6,100.0,Toolkit data
55,%P%01CRM0YE,RRTAZ-20,496.7,100.0,Toolkit data
56,%P%01CRM2YL,RROREAS 264,447.1,100.0,Toolkit data
57,%P%01CRM0YF,CDN_ME_1411,567.7,100.0,Toolkit data
58,%P%01CRM28H,CT_22,502.4,100.0,Toolkit data
59,%P%01CRM0YA,CT_22,458.1,100.0,Toolkit data
60,%P%01CRM0YT,TAZ_20,486.3,100.0,Toolkit data
61,%P%01CRM0Z6,CT_22,476.4,100.0,Toolkit data
62,%P%01CRM0YC,TAZ_20,410.1,100.0,Toolkit data
63,%P%01CRM0XY,OREAS237,436.0,100.0,Toolkit data
64,%P%01CRM27K,BLANK,659.5,100.0,Toolkit data
65,%P%01CRM27Z,BLANK,646.6,100.0,Toolkit data
66,%P%01CRM288,CT-22,518.3,100.0,Toolkit data
67,%P%01CRM2UY,OREAS237,502.3,100.0,Toolkit data
68,%P%01CRM2V1,OREAS237,510.8,100.0,Toolkit data
69,%P%01CRM263,OREAS237,510.3,100.0,Toolkit data
70,%P%01CRM2V0,OREAS237,499.8,100.0,Toolkit data
71,%P%01CRM253,CDN_ME_1411,564.5,100.0,Toolkit data
